loc,time,pig,beef,poultry,lamb
NZL,2021,19.116,11.663,40.043,3.356
NZL,2022,19.151,11.371,40.125,3.291
NZL,2023,19.196,11.36,40.211,3.25
NZL,2024,19.242,11.349,40.302,3.202
NZL,2025,19.293,11.34,40.397,3.139
NZL,2026,19.344,11.335,40.495,3.072
NZL,2027,19.397,11.327,40.598,3.009
NZL,2028,19.447,11.321,40.704,2.949
NZL,2029,19.506,11.318,40.816,2.891
TUR,2018,0,9.839,18.623,4.308
TUR,2019,0,9.474,19.059,4.264
TUR,2020,0,9.633,19.183,4.231
TUR,2021,0,9.818,19.496,4.209
TUR,2022,0,9.966,19.815,4.202
TUR,2023,0,10.117,20.131,4.201
TUR,2024,0,10.284,20.433,4.199
TUR,2025,0,10.452,20.728,4.193
TUR,2026,0,10.611,21.025,4.186
TUR,2027,0,10.76,21.307,4.176
TUR,2028,0,10.916,21.598,4.166
TUR,2029,0,11.077,21.89,4.156
USA,2018,23.246,26.057,49.439,0.509
USA,2019,24.002,26.324,50.098,0.443
USA,2020,23.983,26.195,50.963,0.431
USA,2021,23.878,26.081,50.801,0.429
USA,2022,23.793,25.342,50.897,0.432
USA,2023,23.725,25.318,50.902,0.431
USA,2024,23.85,25.309,50.911,0.431
USA,2025,23.924,25.394,50.906,0.432
USA,2026,23.961,25.58,50.902,0.431
USA,2027,23.903,25.712,50.893,0.432
USA,2028,23.861,25.945,50.894,0.432
USA,2029,23.833,25.969,50.882,0.432
ARG,2018,11.054,38.881,38.464,0.969
ARG,2019,11.374,37.985,37.921,0.97
ARG,2020,11.476,36.894,38.088,0.973
ARG,2021,11.542,36.853,38.117,0.973
ARG,2022,11.551,36.894,38.157,0.974
ARG,2023,11.537,36.758,38.201,0.975
ARG,2024,11.531,36.631,38.247,0.976
ARG,2025,11.557,36.521,38.295,0.977
ARG,2026,11.552,36.386,38.348,0.979
ARG,2027,11.568,36.264,38.404,0.98
ARG,2028,11.578,36.144,38.464,0.982
ARG,2029,11.6,36.035,38.528,0.984
BRA,2018,12.711,25.263,40.109,0.523
BRA,2019,12.848,25.187,40.298,0.52
BRA,2020,12.753,24.445,40.762,0.521
BRA,2021,12.857,24.605,40.77,0.522
BRA,2022,13.063,24.559,40.671,0.521
BRA,2023,12.918,24.618,40.634,0.52
BRA,2024,12.988,24.646,40.592,0.519
BRA,2025,13.077,24.754,40.543,0.519
BRA,2026,13.158,24.687,40.476,0.519
BRA,2027,13.248,24.595,40.439,0.518
BRA,2028,13.326,24.502,40.405,0.518
BRA,2029,13.423,24.434,40.374,0.519
CHL,2018,24.473,18.67,36.36,0.418
CHL,2019,24.587,20.118,36.138,0.486
CHL,2020,24.762,20.262,37.073,0.484
CHL,2021,24.975,20.461,37.373,0.483
CHL,2022,25.169,20.666,37.679,0.482
CHL,2023,25.373,20.859,37.981,0.481
CHL,2024,25.587,21.037,38.298,0.48
CHL,2025,25.81,21.201,38.614,0.478
CHL,2026,26.038,21.358,38.941,0.476
CHL,2027,26.276,21.509,39.281,0.474
CHL,2028,26.519,21.669,39.639,0.472
CHL,2029,26.776,21.831,40.009,0.47
CHN,2018,30.253,3.617,12.323,3.101
CHN,2019,24.367,4.086,14.022,3.235
CHN,2020,22.718,4.186,14.191,3.305
CHN,2021,23.679,4.143,13.998,3.352
CHN,2022,25.389,4.095,13.821,3.402
CHN,2023,26.94,4.047,13.839,3.452
CHN,2024,28.499,4.003,13.868,3.502
CHN,2025,30.072,3.962,13.9,3.553
CHN,2026,30.692,3.973,13.963,3.566
CHN,2027,30.807,3.978,14.033,3.581
CHN,2028,30.92,3.986,14.107,3.598
CHN,2029,31.052,3.993,14.181,3.615
COL,2018,8.072,10.624,30.669,0.143
COL,2019,8.98,8.53,31.281,0.142
COL,2020,8.994,8.62,31.704,0.142
COL,2021,9.198,8.717,32.316,0.142
COL,2022,9.345,8.81,32.772,0.141
COL,2023,9.508,8.906,33.325,0.14
COL,2024,9.688,9.003,33.899,0.139
COL,2025,9.871,9.103,34.471,0.139
COL,2026,10.071,9.203,35.119,0.138
COL,2027,10.232,9.303,35.617,0.137
COL,2028,10.408,9.406,36.181,0.137
COL,2029,10.594,9.51,36.764,0.136
EGY,2018,0.002,7.721,10.812,1.107
EGY,2019,0.002,7.819,11.108,1.096
EGY,2020,0.002,7.8,11.243,1.093
EGY,2021,0.002,7.84,11.39,1.089
EGY,2022,0.002,7.863,11.542,1.085
EGY,2023,0.002,7.887,11.7,1.082
EGY,2024,0.002,7.914,11.866,1.078
EGY,2025,0.002,7.946,12.036,1.075
EGY,2026,0.002,7.965,12.214,1.071
EGY,2027,0.002,7.986,12.398,1.067
EGY,2028,0.002,8.006,12.588,1.064
EGY,2029,0.002,8.027,12.781,1.06
ETH,2018,0.015,2.539,0.115,0.459
ETH,2019,0.015,2.497,0.112,0.47
ETH,2020,0.014,2.486,0.113,0.469
ETH,2021,0.014,2.484,0.112,0.467
ETH,2022,0.014,2.479,0.111,0.466
ETH,2023,0.014,2.473,0.11,0.465
ETH,2024,0.014,2.467,0.109,0.463
ETH,2025,0.014,2.463,0.108,0.461
ETH,2026,0.013,2.457,0.108,0.46
ETH,2027,0.013,2.451,0.109,0.458
ETH,2028,0.013,2.446,0.109,0.457
ETH,2029,0.013,2.441,0.11,0.456
IND,2018,0.173,0.563,2.405,0.464
IND,2019,0.169,0.532,2.403,0.458
IND,2020,0.168,0.532,2.517,0.458
IND,2021,0.165,0.536,2.586,0.459
IND,2022,0.163,0.538,2.652,0.459
IND,2023,0.16,0.541,2.721,0.459
IND,2024,0.157,0.542,2.786,0.459
IND,2025,0.155,0.546,2.859,0.46
IND,2026,0.152,0.548,2.934,0.46
IND,2027,0.149,0.55,3.009,0.461
IND,2028,0.145,0.552,3.086,0.462
IND,2029,0.142,0.552,3.162,0.462
IDN,2018,1.019,2.034,7.546,0.429
IDN,2019,1.011,2.159,7.764,0.432
IDN,2020,1.008,2.178,7.903,0.429
IDN,2021,1.021,2.203,8.052,0.429
IDN,2022,1.03,2.226,8.214,0.431
IDN,2023,1.036,2.25,8.375,0.434
IDN,2024,1.043,2.274,8.543,0.436
IDN,2025,1.048,2.301,8.702,0.438
IDN,2026,1.052,2.327,8.862,0.44
IDN,2027,1.054,2.355,9.005,0.442
IDN,2028,1.056,2.384,9.159,0.443
IDN,2029,1.06,2.414,9.317,0.444
IRN,2018,0,5.65,23.009,4.218
IRN,2019,0,5.711,23.226,4.22
IRN,2020,0,5.77,23.474,4.184
IRN,2021,0,5.852,23.67,4.152
IRN,2022,0,5.926,23.873,4.122
IRN,2023,0,6,24.084,4.094
IRN,2024,0,6.075,24.307,4.067
IRN,2025,0,6.152,24.537,4.042
IRN,2026,0,6.223,24.776,4.019
IRN,2027,0,6.295,25.025,3.999
IRN,2028,0,6.366,25.281,3.981
IRN,2029,0,6.439,25.542,3.965
ISR,2018,1.351,22.851,64.771,1.527
ISR,2019,1.331,23.16,63.981,1.517
ISR,2020,1.311,23.214,64.436,1.525
ISR,2021,1.292,23.295,64.913,1.533
ISR,2022,1.274,23.378,65.384,1.541
ISR,2023,1.256,23.467,65.868,1.548
ISR,2024,1.239,23.563,66.345,1.556
ISR,2025,1.222,23.665,66.821,1.564
ISR,2026,1.206,23.768,67.3,1.572
ISR,2027,1.19,23.876,67.78,1.579
ISR,2028,1.174,23.988,68.263,1.587
ISR,2029,1.159,24.105,68.748,1.595
KAZ,2018,4.809,19.779,17.393,8.083
KAZ,2019,4.703,19.698,16.494,8.186
KAZ,2020,4.664,19.828,16.761,8.247
KAZ,2021,4.65,19.932,17.039,8.301
KAZ,2022,4.624,20.073,17.304,8.355
KAZ,2023,4.599,20.284,17.685,8.412
KAZ,2024,4.578,20.397,17.993,8.468
KAZ,2025,4.559,20.506,18.313,8.523
KAZ,2026,4.542,20.602,18.637,8.579
KAZ,2027,4.527,20.698,18.964,8.635
KAZ,2028,4.512,20.795,19.294,8.691
KAZ,2029,4.499,20.891,19.625,8.748
MYS,2018,5.43,5.297,48.796,1.122
MYS,2019,5.314,5.325,48.748,1.044
MYS,2020,5.263,5.409,49.333,1.072
MYS,2021,5.237,5.524,49.725,1.095
MYS,2022,5.195,5.627,50.113,1.119
MYS,2023,5.155,5.727,50.487,1.141
MYS,2024,5.119,5.822,50.879,1.164
MYS,2025,5.086,5.911,51.275,1.185
MYS,2026,5.055,6,51.714,1.207
MYS,2027,5.026,6.081,52.163,1.228
MYS,2028,4.998,6.166,52.64,1.25
MYS,2029,4.974,6.251,53.143,1.272
NGA,2018,1.119,1.343,0.89,1.775
NGA,2019,1.087,1.313,0.859,1.73
NGA,2020,1.079,1.306,0.842,1.72
NGA,2021,1.082,1.3,0.825,1.709
NGA,2022,1.072,1.301,0.808,1.698
NGA,2023,1.072,1.297,0.792,1.686
NGA,2024,1.064,1.293,0.777,1.675
NGA,2025,1.061,1.286,0.762,1.664
NGA,2026,1.054,1.278,0.747,1.652
NGA,2027,1.05,1.27,0.733,1.639
NGA,2028,1.044,1.263,0.721,1.627
NGA,2029,1.039,1.255,0.71,1.615
PAK,2018,0,6.451,6.176,2.058
PAK,2019,0,6.391,6.578,2.028
PAK,2020,0,6.422,6.621,2.018
PAK,2021,0,6.469,6.667,2.009
PAK,2022,0,6.51,6.716,2.001
PAK,2023,0,6.55,6.769,1.993
PAK,2024,0,6.588,6.825,1.986
PAK,2025,0,6.628,6.884,1.979
PAK,2026,0,6.666,6.947,1.973
PAK,2027,0,6.703,7.013,1.968
PAK,2028,0,6.741,7.083,1.963
PAK,2029,0,6.779,7.156,1.958
PRY,2018,21.639,12.718,5.298,0.502
PRY,2019,21.561,12.05,5.35,0.495
PRY,2020,21.479,12.034,5.339,0.493
PRY,2021,21.584,12.095,5.334,0.49
PRY,2022,21.629,12.147,5.318,0.488
PRY,2023,21.711,12.186,5.31,0.485
PRY,2024,21.77,12.191,5.295,0.483
PRY,2025,21.823,12.19,5.281,0.48
PRY,2026,21.878,12.175,5.267,0.477
PRY,2027,21.932,12.159,5.251,0.474
PRY,2028,21.984,12.149,5.236,0.472
PRY,2029,22.043,12.138,5.221,0.469
PER,2018,4.131,4.242,44.467,1.054
PER,2019,4.13,4.21,45.334,1.042
PER,2020,4.038,4.143,45.957,1.027
PER,2021,4.138,4.169,46.651,1.02
PER,2022,4.177,4.163,47.349,1.013
PER,2023,4.239,4.176,48.061,1.001
PER,2024,4.304,4.192,48.804,0.993
PER,2025,4.368,4.203,49.566,0.984
PER,2026,4.466,4.233,50.343,0.979
PER,2027,4.486,4.223,51.138,0.968
PER,2028,4.549,4.233,51.962,0.955
PER,2029,4.616,4.238,52.829,0.946
PHL,2018,14.965,3.161,13.18,0.51
PHL,2019,15.222,3.152,13.487,0.503
PHL,2020,14.898,3.129,13.742,0.506
PHL,2021,14.918,3.152,14.031,0.509
PHL,2022,14.977,3.17,14.319,0.512
PHL,2023,15.066,3.189,14.609,0.516
PHL,2024,15.137,3.204,14.913,0.521
PHL,2025,15.199,3.225,15.224,0.526
PHL,2026,15.275,3.244,15.541,0.531
PHL,2027,15.339,3.264,15.87,0.536
PHL,2028,15.408,3.282,16.21,0.541
PHL,2029,15.488,3.301,16.561,0.546
RUS,2018,19.953,9.996,30.429,1.291
RUS,2019,20.582,10.07,30.622,1.273
RUS,2020,20.714,10.034,30.816,1.276
RUS,2021,20.918,10.02,30.893,1.273
RUS,2022,20.979,10.029,31.048,1.277
RUS,2023,21.092,10.041,31.192,1.281
RUS,2024,21.216,10.053,31.362,1.286
RUS,2025,21.346,10.073,31.53,1.291
RUS,2026,21.486,10.084,31.704,1.296
RUS,2027,21.641,10.097,31.89,1.301
RUS,2028,21.781,10.114,32.074,1.308
RUS,2029,21.95,10.13,32.266,1.314
SAU,2018,0.486,3.679,35.233,4.41
SAU,2019,0.409,3.83,34.93,4.427
SAU,2020,0.402,3.868,34.83,4.387
SAU,2021,0.396,3.917,34.763,4.355
SAU,2022,0.39,3.969,34.712,4.326
SAU,2023,0.385,4.021,34.676,4.297
SAU,2024,0.379,4.073,34.661,4.267
SAU,2025,0.374,4.125,34.658,4.237
SAU,2026,0.37,4.178,34.669,4.208
SAU,2027,0.365,4.231,34.692,4.178
SAU,2028,0.361,4.286,34.726,4.149
SAU,2029,0.357,4.342,34.772,4.12
ZAF,2018,3.698,11.751,34.751,2.631
ZAF,2019,3.686,11.142,34.22,2.59
ZAF,2020,3.699,11.395,34.5,2.586
ZAF,2021,3.751,11.692,34.793,2.578
ZAF,2022,3.796,11.968,35.086,2.574
ZAF,2023,3.842,12.242,35.368,2.569
ZAF,2024,3.89,12.514,35.656,2.566
ZAF,2025,3.937,12.791,35.935,2.562
ZAF,2026,3.985,13.054,36.212,2.559
ZAF,2027,4.035,13.318,36.49,2.556
ZAF,2028,4.085,13.581,36.768,2.554
ZAF,2029,4.137,13.844,37.044,2.553
THA,2018,9.899,1.306,8.288,0.047
THA,2019,9.863,1.229,7.825,0.042
THA,2020,9.873,1.233,7.902,0.043
THA,2021,9.969,1.237,7.992,0.044
THA,2022,10.031,1.246,8.082,0.045
THA,2023,10.075,1.253,8.171,0.046
THA,2024,10.124,1.257,8.262,0.047
THA,2025,10.152,1.259,8.354,0.048
THA,2026,10.18,1.261,8.444,0.049
THA,2027,10.187,1.261,8.537,0.05
THA,2028,10.206,1.262,8.631,0.051
THA,2029,10.23,1.263,8.726,0.052
UKR,2018,13.009,5.027,21.576,0.276
UKR,2019,12.924,4.622,22.304,0.277
UKR,2020,12.86,4.644,22.693,0.28
UKR,2021,13.037,4.685,23.162,0.282
UKR,2022,13.223,4.73,23.626,0.284
UKR,2023,13.44,4.768,24.065,0.286
UKR,2024,13.629,4.799,24.508,0.288
UKR,2025,13.833,4.827,24.936,0.29
UKR,2026,14.032,4.849,25.362,0.292
UKR,2027,14.233,4.872,25.792,0.294
UKR,2028,14.434,4.897,26.222,0.296
UKR,2029,14.643,4.922,26.649,0.298
VNM,2018,31.399,8.935,15.361,0.164
VNM,2019,25.953,8.145,16.208,0.163
VNM,2020,25.017,8.254,16.521,0.167
VNM,2021,25.927,8.422,16.867,0.171
VNM,2022,26.819,8.575,17.219,0.175
VNM,2023,27.735,8.727,17.576,0.179
VNM,2024,28.639,8.88,17.948,0.183
VNM,2025,29.563,9.041,18.334,0.187
VNM,2026,30.843,9.185,18.73,0.191
VNM,2027,31.976,9.333,19.147,0.195
VNM,2028,32.381,9.479,19.579,0.199
VNM,2029,32.72,9.628,20.028,0.203
WLD,2018,12.327,6.401,14.334,1.745
WLD,2019,11.091,6.421,14.748,1.75
WLD,2020,10.678,6.391,14.875,1.759
WLD,2021,10.817,6.377,14.858,1.766
WLD,2022,11.085,6.33,14.852,1.774
WLD,2023,11.314,6.314,14.88,1.782
WLD,2024,11.554,6.298,14.909,1.789
WLD,2025,11.792,6.29,14.943,1.796
WLD,2026,11.859,6.29,14.977,1.796
WLD,2027,11.831,6.285,15.016,1.797
WLD,2028,11.793,6.286,15.059,1.799
WLD,2029,11.76,6.279,15.102,1.8
CHE,2018,22.596,13.305,14.666,1.192
CHE,2019,22.545,13.171,14.729,1.183
CHE,2020,22.46,13.107,14.769,1.146
CHE,2021,22.37,13.01,14.841,1.142
CHE,2022,22.247,12.929,14.91,1.137
CHE,2023,22.171,12.845,15.017,1.133
CHE,2024,22.076,12.761,15.131,1.13
CHE,2025,21.988,12.685,15.243,1.126
CHE,2026,21.905,12.608,15.354,1.123
CHE,2027,21.826,12.571,15.465,1.12
CHE,2028,21.747,12.538,15.576,1.117
CHE,2029,21.681,12.506,15.689,1.114
GBR,2018,16.834,11.735,28.434,3.921
GBR,2019,16.046,11.408,30.062,3.935
GBR,2020,15.816,11.329,30.451,3.928
GBR,2021,15.905,11.362,30.502,3.912
GBR,2022,15.914,11.341,30.515,3.9
GBR,2023,15.91,11.245,30.517,3.888
GBR,2024,15.913,11.185,30.541,3.874
GBR,2025,15.881,11.144,30.556,3.861
GBR,2026,15.809,11.085,30.553,3.847
GBR,2027,15.76,11.032,30.553,3.836
GBR,2028,15.711,11.055,30.564,3.826
GBR,2029,15.672,11.031,30.563,3.814
