loc,pig2018,pig2019,pig2020,pig2021,pig2022,pig2023,pig2024,pig2025,pig2026,pig2027,pig2028,pig2029,beef2018,beef2019,beef2020,beef2021,beef2022,beef2023,beef2024,beef2025,beef2026,beef2027,beef2028,beef2029,poultry2018,poultry2019,poultry2020,poultry2021,poultry2022,poultry2023,poultry2024,poultry2025,poultry2026,poultry2027,poultry2028,poultry2029,lamb2018,lamb2019,lamb2020,lamb2021,lamb2022,lamb2023,lamb2024,lamb2025,lamb2026,lamb2027,lamb2028,lamb2029
CHL,24.47,24.59,24.76,24.98,25.17,25.37,25.59,25.81,26.04,26.28,26.52,26.78,18.67,20.12,20.26,20.46,20.67,20.86,21.04,21.20,21.36,21.51,21.67,21.83,36.36,36.14,37.07,37.37,37.68,37.98,38.30,38.61,38.94,39.28,39.64,40.01,0.42,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47
CHN,30.25,24.37,22.72,23.68,25.39,26.94,28.50,30.07,30.69,30.81,30.92,31.05,3.62,4.09,4.19,4.14,4.10,4.05,4.00,3.96,3.97,3.98,3.99,3.99,12.32,14.02,14.19,14.00,13.82,13.84,13.87,13.90,13.96,14.03,14.11,14.18,3.10,3.24,3.31,3.35,3.40,3.45,3.50,3.55,3.57,3.58,3.60,3.62
COL,8.07,8.98,8.99,9.20,9.35,9.51,9.69,9.87,10.07,10.23,10.41,10.59,10.62,8.53,8.62,8.72,8.81,8.91,9.00,9.10,9.20,9.30,9.41,9.51,30.67,31.28,31.70,32.32,32.77,33.33,33.90,34.47,35.12,35.62,36.18,36.76,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
EGY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.72,7.82,7.80,7.84,7.86,7.89,7.91,7.95,7.97,7.99,8.01,8.03,10.81,11.11,11.24,11.39,11.54,11.70,11.87,12.04,12.21,12.40,12.59,12.78,1.11,1.10,1.09,1.09,1.09,1.08,1.08,1.08,1.07,1.07,1.06,1.06
ETH,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.54,2.50,2.49,2.48,2.48,2.47,2.47,2.46,2.46,2.45,2.45,2.44,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.46,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46
IND,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.56,0.53,0.53,0.54,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.55,2.41,2.40,2.52,2.59,2.65,2.72,2.79,2.86,2.93,3.01,3.09,3.16,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
IDN,1.02,1.01,1.01,1.02,1.03,1.04,1.04,1.05,1.05,1.05,1.06,1.06,2.03,2.16,2.18,2.20,2.23,2.25,2.27,2.30,2.33,2.36,2.38,2.41,7.55,7.76,7.90,8.05,8.21,8.38,8.54,8.70,8.86,9.01,9.16,9.32,0.43,0.43,0.43,0.43,0.43,0.43,0.44,0.44,0.44,0.44,0.44,0.44
IRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.65,5.71,5.77,5.85,5.93,6.00,6.08,6.15,6.22,6.30,6.37,6.44,23.01,23.23,23.47,23.67,23.87,24.08,24.31,24.54,24.78,25.03,25.28,25.54,4.22,4.22,4.18,4.15,4.12,4.09,4.07,4.04,4.02,4.00,3.98,3.97
ISR,1.35,1.33,1.31,1.29,1.27,1.26,1.24,1.22,1.21,1.19,1.17,1.16,22.85,23.16,23.21,23.30,23.38,23.47,23.56,23.67,23.77,23.88,23.99,24.11,64.77,63.98,64.44,64.91,65.38,65.87,66.35,66.82,67.30,67.78,68.26,68.75,1.53,1.52,1.53,1.53,1.54,1.55,1.56,1.56,1.57,1.58,1.59,1.60
KAZ,4.81,4.70,4.66,4.65,4.62,4.60,4.58,4.56,4.54,4.53,4.51,4.50,19.78,19.70,19.83,19.93,20.07,20.28,20.40,20.51,20.60,20.70,20.80,20.89,17.39,16.49,16.76,17.04,17.30,17.69,17.99,18.31,18.64,18.96,19.29,19.63,8.08,8.19,8.25,8.30,8.36,8.41,8.47,8.52,8.58,8.64,8.69,8.75
MYS,5.43,5.31,5.26,5.24,5.20,5.16,5.12,5.09,5.06,5.03,5.00,4.97,5.30,5.33,5.41,5.52,5.63,5.73,5.82,5.91,6.00,6.08,6.17,6.25,48.80,48.75,49.33,49.73,50.11,50.49,50.88,51.28,51.71,52.16,52.64,53.14,1.12,1.04,1.07,1.10,1.12,1.14,1.16,1.19,1.21,1.23,1.25,1.27
NGA,1.12,1.09,1.08,1.08,1.07,1.07,1.06,1.06,1.05,1.05,1.04,1.04,1.34,1.31,1.31,1.30,1.30,1.30,1.29,1.29,1.28,1.27,1.26,1.26,0.89,0.86,0.84,0.83,0.81,0.79,0.78,0.76,0.75,0.73,0.72,0.71,1.78,1.73,1.72,1.71,1.70,1.69,1.68,1.66,1.65,1.64,1.63,1.62
PAK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.45,6.39,6.42,6.47,6.51,6.55,6.59,6.63,6.67,6.70,6.74,6.78,6.18,6.58,6.62,6.67,6.72,6.77,6.83,6.88,6.95,7.01,7.08,7.16,2.06,2.03,2.02,2.01,2.00,1.99,1.99,1.98,1.97,1.97,1.96,1.96
PRY,21.64,21.56,21.48,21.58,21.63,21.71,21.77,21.82,21.88,21.93,21.98,22.04,12.72,12.05,12.03,12.10,12.15,12.19,12.19,12.19,12.18,12.16,12.15,12.14,5.30,5.35,5.34,5.33,5.32,5.31,5.30,5.28,5.27,5.25,5.24,5.22,0.50,0.50,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.47
PER,4.13,4.13,4.04,4.14,4.18,4.24,4.30,4.37,4.47,4.49,4.55,4.62,4.24,4.21,4.14,4.17,4.16,4.18,4.19,4.20,4.23,4.22,4.23,4.24,44.47,45.33,45.96,46.65,47.35,48.06,48.80,49.57,50.34,51.14,51.96,52.83,1.05,1.04,1.03,1.02,1.01,1.00,0.99,0.98,0.98,0.97,0.96,0.95
PHL,14.97,15.22,14.90,14.92,14.98,15.07,15.14,15.20,15.28,15.34,15.41,15.49,3.16,3.15,3.13,3.15,3.17,3.19,3.20,3.23,3.24,3.26,3.28,3.30,13.18,13.49,13.74,14.03,14.32,14.61,14.91,15.22,15.54,15.87,16.21,16.56,0.51,0.50,0.51,0.51,0.51,0.52,0.52,0.53,0.53,0.54,0.54,0.55
RUS,19.95,20.58,20.71,20.92,20.98,21.09,21.22,21.35,21.49,21.64,21.78,21.95,10.00,10.07,10.03,10.02,10.03,10.04,10.05,10.07,10.08,10.10,10.11,10.13,30.43,30.62,30.82,30.89,31.05,31.19,31.36,31.53,31.70,31.89,32.07,32.27,1.29,1.27,1.28,1.27,1.28,1.28,1.29,1.29,1.30,1.30,1.31,1.31
SAU,0.49,0.41,0.40,0.40,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.36,3.68,3.83,3.87,3.92,3.97,4.02,4.07,4.13,4.18,4.23,4.29,4.34,35.23,34.93,34.83,34.76,34.71,34.68,34.66,34.66,34.67,34.69,34.73,34.77,4.41,4.43,4.39,4.36,4.33,4.30,4.27,4.24,4.21,4.18,4.15,4.12
ZAF,3.70,3.69,3.70,3.75,3.80,3.84,3.89,3.94,3.99,4.04,4.09,4.14,11.75,11.14,11.40,11.69,11.97,12.24,12.51,12.79,13.05,13.32,13.58,13.84,34.75,34.22,34.50,34.79,35.09,35.37,35.66,35.94,36.21,36.49,36.77,37.04,2.63,2.59,2.59,2.58,2.57,2.57,2.57,2.56,2.56,2.56,2.55,2.55
THA,9.90,9.86,9.87,9.97,10.03,10.08,10.12,10.15,10.18,10.19,10.21,10.23,1.31,1.23,1.23,1.24,1.25,1.25,1.26,1.26,1.26,1.26,1.26,1.26,8.29,7.83,7.90,7.99,8.08,8.17,8.26,8.35,8.44,8.54,8.63,8.73,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
UKR,13.01,12.92,12.86,13.04,13.22,13.44,13.63,13.83,14.03,14.23,14.43,14.64,5.03,4.62,4.64,4.69,4.73,4.77,4.80,4.83,4.85,4.87,4.90,4.92,21.58,22.30,22.69,23.16,23.63,24.07,24.51,24.94,25.36,25.79,26.22,26.65,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.30,0.30
VNM,31.40,25.95,25.02,25.93,26.82,27.74,28.64,29.56,30.84,31.98,32.38,32.72,8.94,8.15,8.25,8.42,8.58,8.73,8.88,9.04,9.19,9.33,9.48,9.63,15.36,16.21,16.52,16.87,17.22,17.58,17.95,18.33,18.73,19.15,19.58,20.03,0.16,0.16,0.17,0.17,0.18,0.18,0.18,0.19,0.19,0.20,0.20,0.20
WLD,12.33,11.09,10.68,10.82,11.09,11.31,11.55,11.79,11.86,11.83,11.79,11.76,6.40,6.42,6.39,6.38,6.33,6.31,6.30,6.29,6.29,6.29,6.29,6.28,14.33,14.75,14.88,14.86,14.85,14.88,14.91,14.94,14.98,15.02,15.06,15.10,1.75,1.75,1.76,1.77,1.77,1.78,1.79,1.80,1.80,1.80,1.80,1.80
CHE,22.60,22.55,22.46,22.37,22.25,22.17,22.08,21.99,21.91,21.83,21.75,21.68,13.31,13.17,13.11,13.01,12.93,12.85,12.76,12.69,12.61,12.57,12.54,12.51,14.67,14.73,14.77,14.84,14.91,15.02,15.13,15.24,15.35,15.47,15.58,15.69,1.19,1.18,1.15,1.14,1.14,1.13,1.13,1.13,1.12,1.12,1.12,1.11
GBR,16.83,16.05,15.82,15.91,15.91,15.91,15.91,15.88,15.81,15.76,15.71,15.67,11.74,11.41,11.33,11.36,11.34,11.25,11.19,11.14,11.09,11.03,11.06,11.03,28.43,30.06,30.45,30.50,30.52,30.52,30.54,30.56,30.55,30.55,30.56,30.56,3.92,3.94,3.93,3.91,3.90,3.89,3.87,3.86,3.85,3.84,3.83,3.81
