loc,type,time,value
BRA,BEEF,2024,24.646
BRA,BEEF,2025,24.754
BRA,BEEF,2026,24.687
BRA,BEEF,2027,24.595
BRA,BEEF,2028,24.502
BRA,BEEF,2029,24.434
CHL,BEEF,2018,18.67
CHL,BEEF,2019,20.118
CHL,BEEF,2020,20.262
CHL,BEEF,2021,20.461
CHL,BEEF,2022,20.666
CHL,BEEF,2023,20.859
CHL,BEEF,2024,21.037
CHL,BEEF,2025,21.201
CHL,BEEF,2026,21.358
CHL,BEEF,2027,21.509
CHL,BEEF,2028,21.669
CHL,BEEF,2029,21.831
CHN,BEEF,2018,3.617
CHN,BEEF,2019,4.086
CHN,BEEF,2020,4.186
CHN,BEEF,2021,4.143
CHN,BEEF,2022,4.095
CHN,BEEF,2023,4.047
CHN,BEEF,2024,4.003
CHN,BEEF,2025,3.962
CHN,BEEF,2026,3.973
CHN,BEEF,2027,3.978
CHN,BEEF,2028,3.986
CHN,BEEF,2029,3.993
COL,BEEF,2018,10.624
COL,BEEF,2019,8.53
COL,BEEF,2020,8.62
COL,BEEF,2021,8.717
COL,BEEF,2022,8.81
COL,BEEF,2023,8.906
COL,BEEF,2024,9.003
COL,BEEF,2025,9.103
COL,BEEF,2026,9.203
COL,BEEF,2027,9.303
COL,BEEF,2028,9.406
COL,BEEF,2029,9.51
EGY,BEEF,2018,7.721
EGY,BEEF,2019,7.819
EGY,BEEF,2020,7.8
EGY,BEEF,2021,7.84
EGY,BEEF,2022,7.863
EGY,BEEF,2023,7.887
EGY,BEEF,2024,7.914
EGY,BEEF,2025,7.946
EGY,BEEF,2026,7.965
EGY,BEEF,2027,7.986
EGY,BEEF,2028,8.006
EGY,BEEF,2029,8.027
ETH,BEEF,2018,2.539
ETH,BEEF,2019,2.497
ETH,BEEF,2020,2.486
ETH,BEEF,2021,2.484
ETH,BEEF,2022,2.479
ETH,BEEF,2023,2.473
ETH,BEEF,2024,2.467
ETH,BEEF,2025,2.463
ETH,BEEF,2026,2.457
ETH,BEEF,2027,2.451
ETH,BEEF,2028,2.446
ETH,BEEF,2029,2.441
IND,BEEF,2018,0.563
IND,BEEF,2019,0.532
IND,BEEF,2020,0.532
IND,BEEF,2021,0.536
IND,BEEF,2022,0.538
IND,BEEF,2023,0.541
IND,BEEF,2024,0.542
IND,BEEF,2025,0.546
IND,BEEF,2026,0.548
IND,BEEF,2027,0.55
IND,BEEF,2028,0.552
IND,BEEF,2029,0.552
IDN,BEEF,2018,2.034
IDN,BEEF,2019,2.159
IDN,BEEF,2020,2.178
IDN,BEEF,2021,2.203
IDN,BEEF,2022,2.226
IDN,BEEF,2023,2.25
IDN,BEEF,2024,2.274
IDN,BEEF,2025,2.301
IDN,BEEF,2026,2.327
IDN,BEEF,2027,2.355
IDN,BEEF,2028,2.384
IDN,BEEF,2029,2.414
IRN,BEEF,2018,5.65
IRN,BEEF,2019,5.711
IRN,BEEF,2020,5.77
IRN,BEEF,2021,5.852
IRN,BEEF,2022,5.926
IRN,BEEF,2023,6
IRN,BEEF,2024,6.075
IRN,BEEF,2025,6.152
IRN,BEEF,2026,6.223
IRN,BEEF,2027,6.295
IRN,BEEF,2028,6.366
IRN,BEEF,2029,6.439
ISR,BEEF,2018,22.851
ISR,BEEF,2019,23.16
ISR,BEEF,2020,23.214
ISR,BEEF,2021,23.295
ISR,BEEF,2022,23.378
ISR,BEEF,2023,23.467
ISR,BEEF,2024,23.563
ISR,BEEF,2025,23.665
ISR,BEEF,2026,23.768
ISR,BEEF,2027,23.876
ISR,BEEF,2028,23.988
ISR,BEEF,2029,24.105
KAZ,BEEF,2018,19.779
KAZ,BEEF,2019,19.698
KAZ,BEEF,2020,19.828
KAZ,BEEF,2021,19.932
KAZ,BEEF,2022,20.073
KAZ,BEEF,2023,20.284
KAZ,BEEF,2024,20.397
KAZ,BEEF,2025,20.506
KAZ,BEEF,2026,20.602
KAZ,BEEF,2027,20.698
KAZ,BEEF,2028,20.795
KAZ,BEEF,2029,20.891
MYS,BEEF,2018,5.297
MYS,BEEF,2019,5.325
MYS,BEEF,2020,5.409
MYS,BEEF,2021,5.524
MYS,BEEF,2022,5.627
MYS,BEEF,2023,5.727
MYS,BEEF,2024,5.822
MYS,BEEF,2025,5.911
MYS,BEEF,2026,6
MYS,BEEF,2027,6.081
MYS,BEEF,2028,6.166
MYS,BEEF,2029,6.251
NGA,BEEF,2018,1.343
NGA,BEEF,2019,1.313
NGA,BEEF,2020,1.306
NGA,BEEF,2021,1.3
NGA,BEEF,2022,1.301
NGA,BEEF,2023,1.297
NGA,BEEF,2024,1.293
NGA,BEEF,2025,1.286
NGA,BEEF,2026,1.278
NGA,BEEF,2027,1.27
NGA,BEEF,2028,1.263
NGA,BEEF,2029,1.255
PAK,BEEF,2018,6.451
PAK,BEEF,2019,6.391
PAK,BEEF,2020,6.422
PAK,BEEF,2021,6.469
PAK,BEEF,2022,6.51
PAK,BEEF,2023,6.55
PAK,BEEF,2024,6.588
PAK,BEEF,2025,6.628
PAK,BEEF,2026,6.666
PAK,BEEF,2027,6.703
PAK,BEEF,2028,6.741
PAK,BEEF,2029,6.779
PRY,BEEF,2018,12.718
PRY,BEEF,2019,12.05
PRY,BEEF,2020,12.034
PRY,BEEF,2021,12.095
PRY,BEEF,2022,12.147
PRY,BEEF,2023,12.186
PRY,BEEF,2024,12.191
PRY,BEEF,2025,12.19
PRY,BEEF,2026,12.175
PRY,BEEF,2027,12.159
PRY,BEEF,2028,12.149
PRY,BEEF,2029,12.138
PER,BEEF,2018,4.242
PER,BEEF,2019,4.21
PER,BEEF,2020,4.143
PER,BEEF,2021,4.169
PER,BEEF,2022,4.163
PER,BEEF,2023,4.176
PER,BEEF,2024,4.192
PER,BEEF,2025,4.203
PER,BEEF,2026,4.233
PER,BEEF,2027,4.223
PER,BEEF,2028,4.233
PER,BEEF,2029,4.238
PHL,BEEF,2018,3.161
PHL,BEEF,2019,3.152
PHL,BEEF,2020,3.129
PHL,BEEF,2021,3.152
PHL,BEEF,2022,3.17
PHL,BEEF,2023,3.189
PHL,BEEF,2024,3.204
PHL,BEEF,2025,3.225
PHL,BEEF,2026,3.244
PHL,BEEF,2027,3.264
PHL,BEEF,2028,3.282
PHL,BEEF,2029,3.301
RUS,BEEF,2018,9.996
RUS,BEEF,2019,10.07
RUS,BEEF,2020,10.034
RUS,BEEF,2021,10.02
RUS,BEEF,2022,10.029
RUS,BEEF,2023,10.041
RUS,BEEF,2024,10.053
RUS,BEEF,2025,10.073
RUS,BEEF,2026,10.084
RUS,BEEF,2027,10.097
RUS,BEEF,2028,10.114
RUS,BEEF,2029,10.13
SAU,BEEF,2018,3.679
SAU,BEEF,2019,3.83
SAU,BEEF,2020,3.868
SAU,BEEF,2021,3.917
SAU,BEEF,2022,3.969
SAU,BEEF,2023,4.021
SAU,BEEF,2024,4.073
SAU,BEEF,2025,4.125
SAU,BEEF,2026,4.178
SAU,BEEF,2027,4.231
SAU,BEEF,2028,4.286
SAU,BEEF,2029,4.342
ZAF,BEEF,2018,11.751
ZAF,BEEF,2019,11.142
ZAF,BEEF,2020,11.395
ZAF,BEEF,2021,11.692
ZAF,BEEF,2022,11.968
ZAF,BEEF,2023,12.242
ZAF,BEEF,2024,12.514
ZAF,BEEF,2025,12.791
ZAF,BEEF,2026,13.054
ZAF,BEEF,2027,13.318
ZAF,BEEF,2028,13.581
ZAF,BEEF,2029,13.844
THA,BEEF,2018,1.306
THA,BEEF,2019,1.229
THA,BEEF,2020,1.233
THA,BEEF,2021,1.237
THA,BEEF,2022,1.246
THA,BEEF,2023,1.253
THA,BEEF,2024,1.257
THA,BEEF,2025,1.259
THA,BEEF,2026,1.261
THA,BEEF,2027,1.261
THA,BEEF,2028,1.262
THA,BEEF,2029,1.263
UKR,BEEF,2018,5.027
UKR,BEEF,2019,4.622
UKR,BEEF,2020,4.644
UKR,BEEF,2021,4.685
UKR,BEEF,2022,4.73
UKR,BEEF,2023,4.768
UKR,BEEF,2024,4.799
UKR,BEEF,2025,4.827
UKR,BEEF,2026,4.849
UKR,BEEF,2027,4.872
UKR,BEEF,2028,4.897
UKR,BEEF,2029,4.922
VNM,BEEF,2018,8.935
VNM,BEEF,2019,8.145
VNM,BEEF,2020,8.254
VNM,BEEF,2021,8.422
VNM,BEEF,2022,8.575
VNM,BEEF,2023,8.727
VNM,BEEF,2024,8.88
VNM,BEEF,2025,9.041
VNM,BEEF,2026,9.185
VNM,BEEF,2027,9.333
VNM,BEEF,2028,9.479
VNM,BEEF,2029,9.628
WLD,BEEF,2018,6.401
WLD,BEEF,2019,6.421
WLD,BEEF,2020,6.391
WLD,BEEF,2021,6.377
WLD,BEEF,2022,6.33
WLD,BEEF,2023,6.314
WLD,BEEF,2024,6.298
WLD,BEEF,2025,6.29
WLD,BEEF,2026,6.29
WLD,BEEF,2027,6.285
WLD,BEEF,2028,6.286
WLD,BEEF,2029,6.279
NOR,BEEF,2018,12.88
NOR,BEEF,2019,12.668
NOR,BEEF,2020,12.806
NOR,BEEF,2021,12.926
NOR,BEEF,2022,13.053
NOR,BEEF,2023,12.982
NOR,BEEF,2024,12.925
NOR,BEEF,2025,12.86
NOR,BEEF,2026,12.802
NOR,BEEF,2027,12.741
NOR,BEEF,2028,12.686
NOR,BEEF,2029,12.628
CHE,BEEF,2018,13.305
CHE,BEEF,2019,13.171
CHE,BEEF,2020,13.107
CHE,BEEF,2021,13.01
CHE,BEEF,2022,12.929
CHE,BEEF,2023,12.845
CHE,BEEF,2024,12.761
CHE,BEEF,2025,12.685
CHE,BEEF,2026,12.608
CHE,BEEF,2027,12.571
CHE,BEEF,2028,12.538
CHE,BEEF,2029,12.506
GBR,BEEF,2018,11.735
GBR,BEEF,2019,11.408
GBR,BEEF,2020,11.329
GBR,BEEF,2021,11.362
GBR,BEEF,2022,11.341
GBR,BEEF,2023,11.245
GBR,BEEF,2024,11.185
GBR,BEEF,2025,11.144
GBR,BEEF,2026,11.085
GBR,BEEF,2027,11.032
GBR,BEEF,2028,11.055
GBR,BEEF,2029,11.031
